epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
10,0.9913037419319153,0.5485417246818542,0.6940078735351562,0.6547035574913025,0.43529263138771057,0.0010000000474974513,0.025308849290013313,0.6840709447860718,0.9932141304016113,0.9887283444404602,0.9976667761802673,0.9919776916503906,0.5489495992660522,0.7047083377838135,0.5903012156486511,0.3736594617366791,0.02574903331696987,0.8153408765792847,0.992887556552887,0.990497887134552,0.9975922107696533
11,0.9921623468399048,0.580147922039032,0.7305436730384827,0.6812149882316589,0.47327542304992676,0.00020000000949949026,0.021995605900883675,0.738735020160675,0.9933777451515198,0.990125834941864,0.9977389574050903,0.9923824667930603,0.567957878112793,0.6957247853279114,0.6943825483322144,0.4895155131816864,0.022155025973916054,0.750918984413147,0.9940709471702576,0.9900305271148682,0.9979546070098877
12,0.9926807880401611,0.5971886515617371,0.7402290105819702,0.7125643491744995,0.5247604846954346,0.00020000000949949026,0.020458562299609184,0.751250147819519,0.9938132762908936,0.9906306266784668,0.9978821277618408,0.9929829239845276,0.5942994952201843,0.7540988326072693,0.700991153717041,0.46982383728027344,0.02115582302212715,0.7481163144111633,0.9938431978225708,0.9913349747657776,0.9979031682014465
13,0.9929951429367065,0.608479380607605,0.7583215832710266,0.7135845422744751,0.5368528366088867,0.00020000000949949026,0.019666584208607674,0.7450351715087891,0.9939261078834534,0.9910960793495178,0.9979256987571716,0.9930521249771118,0.5978043079376221,0.7332181930541992,0.7162575125694275,0.5040656924247742,0.020953722298145294,0.7717232704162598,0.9940037131309509,0.9913039207458496,0.9979549050331116
14,0.9931519031524658,0.617177426815033,0.7604240775108337,0.7175665497779846,0.5609989762306213,0.00020000000949949026,0.019107500091195107,0.7602742910385132,0.9939948320388794,0.9913321137428284,0.9979514479637146,0.9930469989776611,0.5953742861747742,0.7368901371955872,0.6939104199409485,0.5200585126876831,0.020722409710288048,0.7444565296173096,0.9941209554672241,0.991159200668335,0.9979917407035828
15,0.9933505654335022,0.6214796900749207,0.7608363032341003,0.7201884984970093,0.5764014720916748,0.00020000000949949026,0.018721718341112137,0.773620069026947,0.9941540956497192,0.9915425777435303,0.9980042576789856,0.9932541847229004,0.6070013046264648,0.7469491958618164,0.705341100692749,0.4879782497882843,0.020884748548269272,0.7871665954589844,0.9939258694648743,0.991794764995575,0.9979407787322998
16,0.9934539794921875,0.6359732747077942,0.7742716073989868,0.7480174899101257,0.591660737991333,0.00020000000949949026,0.018438134342432022,0.7817785739898682,0.9941456913948059,0.9917659163475037,0.9980066418647766,0.9925113916397095,0.6040128469467163,0.740816056728363,0.7154727578163147,0.5780660510063171,0.021985217928886414,0.6991082429885864,0.9934514760971069,0.9907357692718506,0.9977754354476929
17,0.9937827587127686,0.6441438794136047,0.7883355021476746,0.7632353901863098,0.6119740605354309,4.0000002627493814e-05,0.01751442812383175,0.7594473361968994,0.9944358468055725,0.9920315742492676,0.9981006383895874,0.9935144186019897,0.6255916357040405,0.7603166699409485,0.7277255654335022,0.5535388588905334,0.019910305738449097,0.781194806098938,0.994103193283081,0.9920610189437866,0.9979971051216125
18,0.9939462542533875,0.6508753299713135,0.7901893854141235,0.7524465918540955,0.6184406280517578,4.0000002627493814e-05,0.017000248655676842,0.7839806079864502,0.9944935441017151,0.9923235177993774,0.9981235861778259,0.9935585856437683,0.6248423457145691,0.7595604658126831,0.7142397165298462,0.5526196956634521,0.01978093571960926,0.7834080457687378,0.9940853714942932,0.9921566843986511,0.9979925155639648
19,0.9940194487571716,0.6535724401473999,0.7950170040130615,0.7557372450828552,0.6255530714988708,4.0000002627493814e-05,0.016830582171678543,0.7870367765426636,0.9945539832115173,0.9924044609069824,0.9981433749198914,0.9935301542282104,0.6290380954742432,0.7719695568084717,0.7256719470024109,0.5384666919708252,0.01984553597867489,0.790409505367279,0.994080126285553,0.9921124577522278,0.9979906678199768
20,0.9940622448921204,0.6586564183235168,0.7938681840896606,0.7652138471603394,0.6377546787261963,4.0000002627493814e-05,0.01671166904270649,0.7956461906433105,0.9945723414421082,0.9924679398536682,0.9981512427330017,0.9935787916183472,0.6326743364334106,0.7593066096305847,0.7448756098747253,0.5581077337265015,0.019842511042952538,0.7976361513137817,0.9940263628959656,0.9922559857368469,0.9979777932167053
21,0.9941496849060059,0.6579715013504028,0.7986211776733398,0.7598940134048462,0.6336390376091003,8.000000889296643e-06,0.0164465494453907,0.7982944250106812,0.9946194291114807,0.9925809502601624,0.9981668591499329,0.9935604333877563,0.6298604011535645,0.7556127309799194,0.7249460220336914,0.5607708692550659,0.019844017922878265,0.8024357557296753,0.9940829873085022,0.9921845197677612,0.9979940056800842
22,0.9941672682762146,0.6609897017478943,0.8020650148391724,0.7624733448028564,0.6378766894340515,8.000000889296643e-06,0.016407903283834457,0.801196813583374,0.9946498870849609,0.9925969839096069,0.9981765747070312,0.9935518503189087,0.6387717723846436,0.7574059367179871,0.7541637420654297,0.5727711915969849,0.0198549572378397,0.8021912574768066,0.9940782785415649,0.992169976234436,0.9979923367500305
23,0.9941893219947815,0.6584318280220032,0.793900191783905,0.7574476599693298,0.6459184288978577,1.6000001323845936e-06,0.016352906823158264,0.802236795425415,0.9946853518486023,0.9926061034202576,0.9981887340545654,0.9935628771781921,0.6318471431732178,0.7616915106773376,0.7320539355278015,0.5636506080627441,0.019840141758322716,0.8024230003356934,0.9940779209136963,0.9921919107437134,0.9979926347732544
24,0.994188666343689,0.6612395644187927,0.7987536191940308,0.7520768642425537,0.6507374048233032,1.6000001323845936e-06,0.016341280192136765,0.8019510507583618,0.9946619272232056,0.992622971534729,0.998181164264679,0.9935702085494995,0.6316846609115601,0.7656516432762146,0.7324601411819458,0.543248176574707,0.01984664984047413,0.803072452545166,0.9940733909606934,0.9922093749046326,0.9979913234710693
